Item,Internal Cod,Cod Vend,Description,Quantity,UM,Unit Price,Net Amount
660,114255,800897191955,SWEET CHEEKS BLUSH GLOWY-BANG BANG,216.00,PC,3.00,648.00
670,114257,800897191948,SWEET CHEEKS BLUSH GLOWY-CITRINE,216.00,PC,0.01,2.16
680,114258,800897192396,SWEET CHEEKS BLUSH GLOWY-DAY CREM,144.00,PC,3.00,432.00
690,114259,800897191924,SWEET CHEEKS BLUSH GLOWY-FIG,216.00,PC,3.00,648.00
700,114260,800897191931,SWEET CHEEKS BLUSH GLOWY-RED RIOT,216.00,PC,3.00,648.00
710,114264,800897192372,SWEET CHEEKS BLUSH GLOWY-SUMMER,72.00,PC,3.00,216.00
720,114267,800897191832,SWEET CHEEKS BLUSH MATTE-BANG BANG,216.00,PC,3.00,648.00
730,114269,800897191825,SWEET CHEEKS BLUSH MATTE-CITRINE,216.00,PC,3.00,648.00
740,114270,800897192327,SWEET CHEEKS BLUSH MATTE-DAY CREM,216.00,PC,3.00,648.00
1170,113504,800897168605,CANT STOP CONCEALER SOFT BEIGE,72.00,PC,3.80,273.60
1180,113502,800897168582,CANT STOP CONCEALER VAINILLA,72.00,PC,3.80,273.60
1190,113498,800897168698,CANT STOP CONCEALER WARM CARAMEL,144.00,PC,3.80,547.20
1200,113491,800897168704,CANT STOP CONCEALER WARM HPNEY,144.00,PC,3.80,547.20
1210,108930,800897051624,CONCEALER WAND - ALABASTER,60.00,PC,2.40,144.00
1220,108931,800897123307,CONCEALER WAND - BEIGE,60.00,PC,2.00,120.00
1230,108932,800897051639,CONCEALER WAND - CAPPUCINO,30.00,PC,2.00,60.00
1240,108939,800897123284,CONCEALER WAND - FAIR,60.00,PC,2.40,144.00
1250,108940,800897051655,CONCEALER WAND - FRESH BEIGE,60.00,PC,2.00,120.00
1260,108941,800897123321,CONCEALER WAND - GLOW,60.00,PC,2.00,120.00
1270,108942,800897051662,CONCEALER WAND - GOLDEN,60.00,PC,2.00,120.00
1280,108943,800897123338,CONCEALER WAND - GREEN,21.00,PC,2.40,50.40
1290,108944,800897123376,CONCEALER WAND - LAVENDER,21.00,PC,2.40,50.40
1300,108949,800897123277,CONCEALER WAND - PORCELAIN,30.00,PC,2.40,72.00
1310,108950,800897051648,CONCEALER WAND - SAND BEIGE,60.00,PC,2.00,120.00
1320,108951,800897123338,CONCEALER WAND - TAN,60.00,PC,2.40,144.00
