PRODUCT,LEGACY PRODUCT,DESCRIPTION,UPC,QTY ORD,QTY,PRICE,UNIT ALLOW,NET PRICE,EXT US($)
K5229700,TIM611,THIS IS MILKY GLOSS UBE MILKSHAKE,800897225209,30,30,5.10,1.70,3.40,102.00
K5229900,TIM613,THIS IS MILKY GLOSS CHERRY MILK SHK,800897225233,30,30,5.10,1.70,3.40,102.00
K5230100,TIM615,THIS IS MILKY GLOSS MINT CHOC CHIP,800897225247,30,30,5.10,1.70,3.40,102.00
K3392700,TIS03,THICK IT STICK IT BROW MASCARA,800897129907,72,72,7.20,2.40,4.80,345.60
K3393200,TIS08,THICK IT STICK IT BROW MASCARA,800897129958,72,72,7.20,2.40,4.80,345.60
K5739800,USPW05,ULTIMATE SHAD PAL 16-PAN WARM,800897246501,15,15,12.00,4.00,8.00,120.00
K4769600,USP01,ULTIMATE UTOPIA SHADOW PALETTE,800897206371,15,15,21.00,7.00,14.00,210.00
K4218500,WMLC01,SMOOTH WHIP MATTE LP CRM PANCAKE STA,800897130983,30,30,4.80,1.60,3.20,96.00
K4223100,WMLC02,SMOOTH WHIP MATTE LP CRM KITTY BELLY,800897131053,30,30,4.80,1.60,3.20,96.00
K4224000,WMLC03,SMOOTH WHIP MATTE LP CRM LATTE FOAM,800897131067,60,60,4.80,1.60,3.20,192.00
K4224100,WMLC04,SMOOTH WHIP MATTE LP CRM TEDDY FLUFF,800897131078,60,60,4.80,1.60,3.20,192.00
K4224200,WMLC05,SMOOTH WHIP MATTE LP CRM PARFAIT,800897131084,60,60,4.80,1.60,3.20,192.00
K4226900,WMLC06,SMOOTH WHIP MATTE LP CRM FAUX FUR,800897131093,30,30,4.80,1.60,3.20,96.00
K4227900,WMLC08,SMOOTH WHIP MATTE LP CRM FUZZY SLIPP,800897131135,30,30,4.80,1.60,3.20,96.00
K4229000,WMLC09,SMOOTH WHIP MATTE LP CRM BDAY FROSTI,800897131197,30,30,4.80,1.60,3.20,96.00
K4229100,WMLC10,SMOOTH WHIP MATTE LP CRM PILLOW FIGH,800897131203,30,30,4.80,1.60,3.20,96.00
K4275900,WMLC13,SMOOTH WHIP MATTE LP CRM CHERRY CREAM,800897131068,60,60,4.80,1.60,3.20,192.00
K4276000,WMLC14,SMOOTH WHIP MATTE LP CRM VELVET ROBE,800897131616,30,30,4.80,1.60,3.20,96.00
K5437500,WMLC20,SMOOTH WHP MATTE LP CRM POM,8008972337233,30,30,4.80,1.60,3.20,96.00
K5437600,WMLC21,SMOOTH WHP MATTE LP CRM,8008972337333,30,30,4.80,1.60,3.20,96.00
K5437900,WMLC24,SMOOTH WHP MATTE LP CRM,8008972337835,30,30,4.80,1.60,3.20,96.00
K5230300,WSB01,WONDER STK CRM BLUSH LT PEACH N,8008972252681,216,216,8.40,2.80,5.60,"1,209.60"
K5230501,WSB03,WONDER STK CRM BLUSH CORAL N,8008972252881,216,216,8.40,2.80,5.60,"1,209.60"
K5230701,WSB05,WONDER STK CRM BLUSH BRT AMBER N,8008972253088,216,216,8.40,2.80,5.60,"1,209.60"
K3280800,WSR01,WONDER STCK DUAL FACE LIFT FAIR,8008971000135,30,30,8.40,2.80,5.60,168.00
K3280900,WSR02,WONDR STCK DUAL FACE LIFT UNVSRL LT,8008971000235,30,30,8.40,2.80,5.60,168.00
K3281000,WSR03,WONDER STCK DUAL FACE LIFT LT MEDIUM,8008971000335,30,30,8.40,2.80,5.60,168.00
K3281100,WSR04,WONDR STCK DUAL FACE LIFT MEDIUM,8008971000435,60,60,8.40,2.80,5.60,336.00
K3281200,WSR05,WONDR STCK DUAL FACE LIFT MED TAN,8008971000535,60,60,8.40,2.80,5.60,336.00
K3281300,WSR06,WONDR STCK DUAL FACE LIFT RICH,8008971000635,30,30,8.40,2.80,5.60,168.00
